date	time	competition	round	opponent	is_home	team_score	opponent_score	goals		attendance
2020-09-05	14:15	League Cup	1st Round	Walsall	a	0	0		0
2020-09-12	15:00	Championship		Cardiff City	a	2	0	Windass 4, Rhodes 44	0
2020-09-15	19:45	League Cup	2nd Round	Rochdale	a	2	0	Kachunga 54, Windass 88	0
2020-09-19	15:00	Championship		Watford	h	0	0		0
2020-09-23	19:00	League Cup	3rd Round	Fulham	a	0	2		0
2020-09-27	13:00	Championship		Bristol City	a	0	2		0
2020-10-03	15:00	Championship		QPR	h	1	1	Barbet 56 (og)	0
2020-10-17	15:00	Championship		Birmingham City	a	1	0	Bannan 49 (pen)	0
2020-10-21	19:45	Championship		Brentford	h	1	2	Paterson 25	0
2020-10-24	15:00	Championship		Luton Town	h	0	1		0
2020-10-28	19:45	Championship		Rotherham United	a	0	3		0
2020-10-31	15:00	Championship		Wycombe	a	0	1		0
2020-11-03	19:45	Championship		Bournemouth	h	1	0	Bannan 71 (pen)	0
2020-11-07	15:00	Championship		Millwall	h	0	0		0
2020-11-21	15:00	Championship		Preston North End	a	0	1		0
2020-11-25	19:45	Championship		Swansea City	a	1	1	Reach 27	0
2020-11-28	15:00	Championship		Stoke City	h	0	0		0
2020-12-02	19:45	Championship		Reading	h	1	1	Paterson 12	0
2020-12-05	15:00	Championship		Norwich City	a	1	2	Windass 60	2000
2020-12-08	19:45	Championship		Huddersfield Town	a	0	2		0
2020-12-12	15:00	Championship		Barnsley	h	1	2	Windass 4	0
2020-12-15	19:45	Championship		Nottingham Forest	a	0	2		0
2020-12-19	15:00	Championship		Coventry City	h	1	0	Lees 67	0
2020-12-26	15:00	Championship		Blackburn Rovers	a	1	1	Reach 41	0
2020-12-29	19:45	Championship		Middlesbrough	h	2	1	Paterson 30, Shaw 40	0
2021-01-01	17:30	Championship		Derby County	h	1	0	Paterson 61	0
2021-01-09	15:00	FA Cup	3rd Round	Exeter City	a	2	0	Reach 27, Paterson 90	0
2021-01-24	20:00	FA Cup	4th Round	Everton	a	0	3		0
2021-01-27	19:00	Championship		Coventry City	a	0	2		0
2021-01-30	15:00	Championship		Preston North End	h	1	0	Palmer 45	0
2021-02-02	19:00	Championship		Bournemouth	a	2	1	Paterson 44, Rhodes 90	0
2021-02-06	15:00	Championship		Millwall	a	1	4	Paterson 10	0
2021-02-09	19:00	Championship		Wycombe	h	2	0	Rhodes 34, Reach 76	0
2021-02-16	19:00	Championship		Stoke City	a	0	1		0
2021-02-20	15:00	Championship		Birmingham City	h	0	1		0
2021-02-24	19:00	Championship		Brentford	a	0	3		0
2021-02-27	15:00	Championship		Luton Town	a	2	3	Windass 6, 42	0
2021-03-03	19:45	Championship		Rotherham United	h	1	2	Olosunde 82 (og)	0
2021-03-06	15:00	Championship		Reading	a	0	3		0
2021-03-14	12:15	Championship		Norwich City	h	1	2	Rhodes 7	0
2021-03-17	19:45	Championship		Huddersfield Town	h	1	1	Windass 36	0
2021-03-20	15:00	Championship		Barnsley	a	2	1	Rhodes 38, 53	0
2021-04-02	15:00	Championship		Watford	a	0	1		0
2021-04-05	17:30	Championship		Cardiff City	h	5	0	Börner 4, Paterson 20, Reach 23, 69, Rhodes 65	0
2021-04-10	15:00	Championship		QPR	a	1	4	Windass 30	0
2021-04-13	18:00	Championship		Swansea City	h	0	2		0
2021-04-17	12:30	Championship		Bristol City	h	1	1	Börner 4	0
2021-04-20	19:00	Championship		Blackburn Rovers	h	1	0	Windass 37	0
2021-04-24	15:00	Championship		Middlesbrough	a	1	3	Windass 39 (pen)	0
2021-05-01	12:30	Championship		Nottingham Forest	h	0	0		0
2021-05-08	12:30	Championship		Derby County	a	3	3	Hutchinson 45+3, Paterson 62, Börner 69	0
